VCD info: dumpfile extend_tb.vcd opened for output.
Time    ImmSrc  Instr                   ImmExt
0       000     00500093        00000005
10000   000     00c00113        0000000c
20000   000     fff00093        ffffffff
30000   000     80000093        fffff800
40000   001     0020a423        00000008
50000   001     fe20ae23        fffffffc
60000   001     7e20af23        000007fe
70000   010     00208863        00000010
80000   010     fe208ee3        fffffffc
90000   010     00000063        00000000
100000  010     7e208fe3        00000ffe
110000  011     123450b7        12345000
120000  011     abcde137        abcde000
130000  011     fff00037        fff00000
140000  100     001000ef        00000800
150000  100     7ff000ef        00000ffe
160000  100     800000ef        fff00000
170000  100     000000ef        00000000

本次仿真结果表明 Extend 模块功能正确，对于各类指令I、S、B、U、J都进行了正负数、边界值等测试，均能按照规定格式从指令中提取立即数并正确完成符号扩展或拼接没有出现错误或异常输出
