t=0 reset=1 PC=xxxxxxxx Instr=xxxxxxxx CPUIn=00000000 CPUOut=xxxxxxxx Result=xxxxxxxx ALUResult=xxxxxxxx x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=5000 reset=1 PC=00000000 Instr=800002b7 CPUIn=00000000 CPUOut=xxxxxxxx Result=80000000 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=12000 reset=0 PC=00000000 Instr=800002b7 CPUIn=00000000 CPUOut=xxxxxxxx Result=80000000 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=15000 reset=0 PC=00000004 Instr=ffc28293 CPUIn=00000000 CPUOut=xxxxxxxx Result=7ffffffc ALUResult=7ffffffc x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=25000 reset=0 PC=00000008 Instr=0002a303 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000000 ALUResult=7ffffffc x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=35000 reset=0 PC=0000000c Instr=00000393 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000000 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=45000 reset=0 PC=00000010 Instr=00000e13 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000000 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=55000 reset=0 PC=00000014 Instr=00800f13 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000008 ALUResult=00000008 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=65000 reset=0 PC=00000018 Instr=00137e93 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000000 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=75000 reset=0 PC=0000001c Instr=000e8463 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000008 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=85000 reset=0 PC=00000024 Instr=00135313 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000000 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=95000 reset=0 PC=00000028 Instr=001e0e13 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000001 ALUResult=00000001 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=105000 reset=0 PC=0000002c Instr=01ee0463 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000008 ALUResult=fffffff9 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=115000 reset=0 PC=00000030 Instr=fe0004e3 CPUIn=00000000 CPUOut=xxxxxxxx Result=ffffffe8 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=125000 reset=0 PC=00000018 Instr=00137e93 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000000 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=135000 reset=0 PC=0000001c Instr=000e8463 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000008 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=145000 reset=0 PC=00000024 Instr=00135313 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000000 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=155000 reset=0 PC=00000028 Instr=001e0e13 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000002 ALUResult=00000002 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=165000 reset=0 PC=0000002c Instr=01ee0463 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000008 ALUResult=fffffffa x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=175000 reset=0 PC=00000030 Instr=fe0004e3 CPUIn=00000000 CPUOut=xxxxxxxx Result=ffffffe8 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=185000 reset=0 PC=00000018 Instr=00137e93 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000000 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=195000 reset=0 PC=0000001c Instr=000e8463 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000008 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=205000 reset=0 PC=00000024 Instr=00135313 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000000 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=215000 reset=0 PC=00000028 Instr=001e0e13 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000003 ALUResult=00000003 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=225000 reset=0 PC=0000002c Instr=01ee0463 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000008 ALUResult=fffffffb x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=235000 reset=0 PC=00000030 Instr=fe0004e3 CPUIn=00000000 CPUOut=xxxxxxxx Result=ffffffe8 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=245000 reset=0 PC=00000018 Instr=00137e93 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000000 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
t=255000 reset=0 PC=0000001c Instr=000e8463 CPUIn=00000000 CPUOut=xxxxxxxx Result=00000008 ALUResult=00000000 x1=xxxxxxxx x2=xxxxxxxx x3=xxxxxxxx
